name	rawTweet	date
Allyssa Richardson	Cold morning to discuss the importance of rest! Wearing alll the layers but loving what I do! #ACFT #tacticalAT… https://t.co/E1acQBZgTe	Feb 01 2020
Allyssa Richardson	Cold morning to discuss the importance of rest! Wearing alll the layers but loving what I do! #ACFT #tacticalAT… https://t.co/E1acQBZgTe	Feb 01 2020
Dude	@JMUFootball An awful lot of those exercises look like the Army Combat Fitness Test... way to go Dukes!	Feb 01 2020
Jeremy Troutman	RT @WarInstitute: The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force https://t.co/sEnNK1zoiT	Feb 01 2020
11th Armored Cavalry Regiment	Troopers of Regimental Support Squadron, 11th Armored Cavalry Regiment, participated in a practice Army Combat Fitn… https://t.co/35on1LNotu	Feb 01 2020
Michael Berard	RT @WarInstitute: Army training too often trades physical fitness for tactical readiness. Here's what leaders at all levels can do to fix t…	Feb 01 2020
C🔺C🔺HR|Business|Strategic Manager|Brand|Promo|	RT @WarInstitute: Army training too often trades physical fitness for tactical readiness. Here's what leaders at all levels can do to fix t…	Feb 01 2020
Modern War Institute	Army training too often trades physical fitness for tactical readiness. Here's what leaders at all levels can do to… https://t.co/TO9qh4cw5a	Feb 01 2020
Stefan Laurell	RT @WarInstitute: Who says you can't—or shouldn't—do PT in the field? https://t.co/sEnNK1zoiT	Jan 31 2020
Anthony Jones	RT @OKGuard: #ICYMI: The OKGuard Show podcast jumped into the new year by discussing how the #OKGuard is implementing the Army Combat Fitne…	Jan 31 2020
Okla. National Guard	#ICYMI: The OKGuard Show podcast jumped into the new year by discussing how the #OKGuard is implementing the Army C… https://t.co/l1vNU1K1Fj	Jan 31 2020
Luisツ	RT @MANationalGuard: The 2nd event of the Army Combat Fitness Test (ACFT) is the Standing Power Throw. This evaluation represents tasks req…	Jan 31 2020
John Minehan	RT @WarInstitute: Who says you can't—or shouldn't—do PT in the field? https://t.co/sEnNK1zoiT	Jan 31 2020
Modern War Institute	Who says you can't—or shouldn't—do PT in the field? https://t.co/sEnNK1zoiT	Jan 31 2020
BharatPatriot🇮🇳🇩🇪🇺🇸🇮🇱🇪🇺	RT @MANationalGuard: The 2nd event of the Army Combat Fitness Test (ACFT) is the Standing Power Throw. This evaluation represents tasks req…	Jan 31 2020
Get2aktive	Outdoor Men's Black Tactical Shoes Sports Hiking Shoes Desert Training Shoes Army Combat Men Military Walk Camping… https://t.co/vS3wJsPJME	Jan 31 2020
Rudy Tutti	RT @sfa_rotc: Prepping for the Army Combat Fitness Test! #functionalfitness #sprintdragcarry #armypt #stronginbodystronginmind #sfasu https…	Jan 31 2020
MA National Guard RRB	The 2nd event of the Army Combat Fitness Test (ACFT) is the Standing Power Throw. This evaluation represents tasks… https://t.co/WhvKYmfICJ	Jan 31 2020
Walker, the Ceaseless Hunger	RT @sfa_rotc: Prepping for the Army Combat Fitness Test! #functionalfitness #sprintdragcarry #armypt #stronginbodystronginmind #sfasu https…	Jan 31 2020
scott allen	RT @sfa_rotc: Prepping for the Army Combat Fitness Test! #functionalfitness #sprintdragcarry #armypt #stronginbodystronginmind #sfasu https…	Jan 31 2020
Abreu	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 31 2020
SFA Army ROTC	Prepping for the Army Combat Fitness Test! #functionalfitness #sprintdragcarry #armypt #stronginbodystronginmind… https://t.co/TaECgYhVB3	Jan 31 2020
Motivational Quotes	RT @ISURedbirdsROTC: 🔴⚫️⚪️This week, the Redbird Battalion participated in the Army Combat Fitness Test (ACFT). It consists of 6 different…	Jan 31 2020
ISU Redbirds ROTC	🔴⚫️⚪️This week, the Redbird Battalion participated in the Army Combat Fitness Test (ACFT). It consists of 6 differe… https://t.co/3OKmyKiYKi	Jan 31 2020
Modern War Institute	A recent MWI article highlighted a serious problem: the Army routinely deploys its soldiers when they are not at th… https://t.co/7TZ2qKRfh1	Jan 31 2020
Christopher Johnson	@thedogman_918 @LushCop Join the club the new army fitness test both combat and endurance is laughable	Jan 31 2020
Modern War Institute	The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force https://t.co/sEnNK1zoiT	Jan 31 2020
𝚂𝚞𝚛𝚟𝚎𝚒𝚕𝚕𝚊𝚗𝚌𝚎 𝚂𝚝𝚊𝚝𝚎 𝚁𝚎𝚙𝚘𝚛𝚝	#CommentaryAnalysis The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force… https://t.co/NmOXeHRtmi	Jan 31 2020
Michael Berard	RT @WarInstitute: Army units' pursuit of tactical readiness too often comes at the cost of soldiers' physical fitness. That's a problem tha…	Jan 31 2020
Boom Boom	"RT @3_INFANTRY_DIV: ACFT เริ่มแล้ว ❗️❗️
การทดสอบร่างกายรูปแบบใหม่ของ ทบ.สหรัฐ Army Combat Fitness Test 💂‍♀️🇹🇭

📌พัฒนาขีดความสามารถกำลังพลกอ…"	Jan 31 2020
Modern War Institute	Army units' pursuit of tactical readiness too often comes at the cost of soldiers' physical fitness. That's a probl… https://t.co/SaXn96b7rQ	Jan 31 2020
William Owen Hannah	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 31 2020
Terin Doller	"RT @3_INFANTRY_DIV: ACFT เริ่มแล้ว ❗️❗️
การทดสอบร่างกายรูปแบบใหม่ของ ทบ.สหรัฐ Army Combat Fitness Test 💂‍♀️🇹🇭

📌พัฒนาขีดความสามารถกำลังพลกอ…"	Jan 31 2020
Jeanna Sims	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 31 2020
Phillip Edgar	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 31 2020
OldSchoolTrainer	"RT @T_Nation: All soldiers have to pass the new combat fitness test. Could you?

Here's how to prepare yourself.
https://t.co/SWMwZisuXp"	Jan 30 2020
ALx	With this knowledge readily available, why do leaders who routinely emphasize the importance of physical fitness co… https://t.co/ktLCkSAQnt	Jan 30 2020
Modern War Institute	The Army Has a Physical Fitness Problem, Part 1: Eight Myths that Weaken Combat Readiness https://t.co/T3rkKaWUKR	Jan 30 2020
T NATION	"All soldiers have to pass the new combat fitness test. Could you?

Here's how to prepare yourself.
https://t.co/SWMwZisuXp"	Jan 30 2020
Mikhail	RT @USArmyNorth: #ARNORTH kicked off its 77th birthday celebration w/ familiarization of the new Army Combat Fitness Test. #Soldiers practi…	Jan 30 2020
Tim Anderson	The Army Has a Physical Fitness Problem, Part 1: Eight Myths that Weaken Combat Readiness https://t.co/VWpD3YIJ4t via @WarInstitute	Jan 30 2020
C🔺C🔺HR|Business|Strategic Manager|Brand|Promo|	"RT @WarInstitute: ""This recurring loss of fitness is unnecessary and occurs when leaders at all levels view physical training and tactical…"	Jan 30 2020
Modern War Institute	"""This recurring loss of fitness is unnecessary and occurs when leaders at all levels view physical training and tac… https://t.co/piKln7Fjzc"	Jan 30 2020
Dudley Walden	This is an absolutely horrible take on the Army's new PT Test. You're a Soldier 1st, then you do your specific job… https://t.co/RVV6n07CVO	Jan 30 2020
NE Army Guard	Are you preparing to take the new Army Combat Fitness Test (ACFT) this year? One event is called the Standing Power… https://t.co/TSXiWYpVw7	Jan 30 2020
กองพลทหารราบที่ 3	"ACFT เริ่มแล้ว ❗️❗️
การทดสอบร่างกายรูปแบบใหม่ของ ทบ.สหรัฐ Army Combat Fitness Test 💂‍♀️🇹🇭

📌พัฒนาขีดความสามารถกำลัง… https://t.co/kupKyR8Y7k"	Jan 30 2020
Ext.อิงครัตCharlie01	RT @PANationalGuard: The @USArmy recently updated its physical readiness training -- or PRT -- mobile app to give Soldiers a leg up on the…	Jan 30 2020
Mark	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 30 2020
Modern War Institute	"""Everything I do is PT"" and eight other myths about physical fitness that erode Army unit's combat readiness. https://t.co/T3rkKaWUKR"	Jan 30 2020
Tony Doong	RT @PANationalGuard: The @USArmy recently updated its physical readiness training -- or PRT -- mobile app to give Soldiers a leg up on the…	Jan 30 2020
GMlog via GeigerNT	RT @PANationalGuard: The @USArmy recently updated its physical readiness training -- or PRT -- mobile app to give Soldiers a leg up on the…	Jan 29 2020
Donald Tyler	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
KOAA News5	The army is moving into a new decade with a new way to evaluate soldiers’ strength and endurance. It’s called the A… https://t.co/lRPAXTtgfV	Jan 29 2020
Denver7 News	"The U.S. Army is changing its approach to physical fitness with a new test called the Army Combat Fitness Test.
https://t.co/Y1PNeH51GE"	Jan 29 2020
Mark Benson	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Modern War Institute	"""The Army routinely deploys its soldiers when they are at their lowest level of physical fitness. This is not only… https://t.co/CXSiVIXhpg"	Jan 29 2020
abs	RT @ArmyKYTN: The Army Combat Fitness Test is upon us. It replaces the APFT which was the @USArmy standard for many years. It's given Soldi…	Jan 29 2020
Taylor McNeal	"RT @ARCYBER: Army Combat Fitness Test app rolls out to help Soldiers get fit, protect their data
@ArmyNewsService @BradingARNEWS https://t.…"	Jan 29 2020
がっつ@強いぞ！日本！	RT @PANationalGuard: The @USArmy recently updated its physical readiness training -- or PRT -- mobile app to give Soldiers a leg up on the…	Jan 29 2020
Christy Foster	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
PA National Guard	The @USArmy recently updated its physical readiness training -- or PRT -- mobile app to give Soldiers a leg up on t… https://t.co/gi2E3GSBIp	Jan 29 2020
Ohreally	RT @ArmyKYTN: The Army Combat Fitness Test is upon us. It replaces the APFT which was the @USArmy standard for many years. It's given Soldi…	Jan 29 2020
GMlog via GeigerNT	RT @ArmyKYTN: The Army Combat Fitness Test is upon us. It replaces the APFT which was the @USArmy standard for many years. It's given Soldi…	Jan 29 2020
Q 🎅2	"RT @ARCYBER: Army Combat Fitness Test app rolls out to help Soldiers get fit, protect their data
@ArmyNewsService @BradingARNEWS https://t.…"	Jan 29 2020
Nashville BN	The Army Combat Fitness Test is upon us. It replaces the APFT which was the @USArmy standard for many years. It's g… https://t.co/wu5IzzJ20k	Jan 29 2020
Army Cyber Command	"Army Combat Fitness Test app rolls out to help Soldiers get fit, protect their data
@ArmyNewsService @BradingARNEWS https://t.co/xnZm02disx"	Jan 29 2020
Albert Fabio	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Marty713 🇺🇲 🌟🌟🌟👊	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Michael Berard	RT @WarInstitute: Army units' pursuit of tactical readiness too often comes at the cost of soldiers' physical fitness. That's a problem tha…	Jan 29 2020
Modern War Institute	Army units' pursuit of tactical readiness too often comes at the cost of soldiers' physical fitness. That's a probl… https://t.co/zOrGwJjFOZ	Jan 29 2020
Power Marsh	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Terence Bramich	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Private	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Marcy McFall	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
LadyWarAnon⭐⭐⭐	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Modern War Institute	The Army Has a Physical Fitness Problem, Part 1: Eight Myths that Weaken Combat Readiness https://t.co/T3rkKaWUKR	Jan 29 2020
工藤剛士(Takeshi Qudo)	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Power G Amas	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 29 2020
Adventure Fitness	2017 High Quality Men's Outdoor Boots Desert Army Military Tactical Boots Combat With Zipper Hiking Boots Black Tan… https://t.co/UT69JNRLpw	Jan 29 2020
CMN Canadian Military News	The Army Has a Physical Fitness Problem, Part 1: Eight Myths that Weaken Combat Readiness - Modern War Institute… https://t.co/Kpu35zD7o0	Jan 28 2020
Michael Berard	"RT @WarInstitute: ""This recurring loss of fitness is unnecessary and occurs when leaders at all levels view physical training and tactical…"	Jan 28 2020
Susan smith	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Modern War Institute	"""This recurring loss of fitness is unnecessary and occurs when leaders at all levels view physical training and tac… https://t.co/Ap29irxQfb"	Jan 28 2020
ladybug patriot	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
George Manson	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
George Manson	"RT @USArmy: The Army Combat Fitness Test is here to better connect fitness with combat readiness for all Soldiers.

What are you doing to g…"	Jan 28 2020
George Manson	"RT @USArmy: .@KYNGrecruiting is the first #USArmy component to receive equipment for the Army Combat Fitness Test.

The @USNationalGuard wi…"	Jan 28 2020
tomchandler9000	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
ArmyPublicHealth	"Training tips for the Army Combat Fitness Test. 
https://t.co/QdZ8vyDKqH"	Jan 28 2020
OperatorMag	"Quick Dry Army Combat Shirt - OperatorMag
Feature: Tactical Fitness Camo Breathable Windproof No Pilling No Shrink… https://t.co/zoXbNuVlM3"	Jan 28 2020
Dr. Justin Imel, Sr.	82nd Combat Aviation Brigade Leaders Take New Army Combat Fitness Test https://t.co/ltchRWrQCd	Jan 28 2020
Maria Cristina Barbosa	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Mustafa Alzubaidi	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
David B Anderson	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
toddhassinger111 🇺🇸🇯🇵🏴‍☠️	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
ＳtandAloneComplex	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Modern War Institute	"""Everything I do is PT"" and eight other myths about physical fitness that erode Army unit's combat readiness. https://t.co/T3rkKaWUKR"	Jan 28 2020
Trump Lioness	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Dennis Weidenbush	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Stancy	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
RILEY🐸💜🇺🇸⭐⭐⭐Text TRUMP TO 88022	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 28 2020
Becca Szymoniak🇺🇸😁🦅⭐️⭐️⭐️	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Feb 01 2020
anti-CSM expert panel	@mountain_six @DFSGM33 Seriously who graded that they need to grade my next ACFT cause my run could use a few minutes DAMN	Feb 01 2020
yscbatis	INFO K. TMP: 40. WIND: 300/10-20, XW 16 KTS RWY 35. QNH: 1009. EXP ILS APCH RWY 35. RWY 35 &amp; RWY 30 FOR ARRS &amp; DEPS… https://t.co/s6rdu4bRmO	Feb 01 2020
G.啓介	"@dir8512 ACFTほぼ完全移植→ps4
一部曲のみ→スイッチ　ですからな
買うのであれば普通のスイッチの方がいいですなあ"	Feb 01 2020
jake_thomason27	@USArmy I have a question I can’t find the answer too ... specifically who takes the ACFT and at what time In the e… https://t.co/HFTNNyqsTr	Feb 01 2020
