date	label	text
 2020 Mar 25 06:08:33	1	@justagirlin513 @Heinzworld @mil_ops And aircraft.  But not normal passenger acft, sounds like fighter engines at r… https://t.co/JHttDF0D8j
 2020 Mar 25 03:43:14	1	Certainly a good-looking, high performance acft. But to optimize its survivability in combat, it needs more composi… https://t.co/NA1xjChRzh
 2020 Mar 25 02:48:00	2	RT @mil_ops: Check this out. German Air Force, Spanish Air Force, and Royal Air Force... never have I seen this many foreign “non combat” t…
 2020 Mar 25 01:18:04	1	"What are the limits of ""mission essential? "" Is a diagnostic ACFT essential?"
 2020 Mar 25 00:30:48	1	"We start teleworking tomorrow but still have PT every morning and still have the ACFT Monday. 
Just because you’re… https://t.co/0jB0KmTU9B"
 2020 Mar 24 23:28:02	1	"@lysscrawfood ""We're awaiting guidance on what this means for the ACFT."""
 2020 Mar 24 23:00:35	1	If you are in the Army and aren’t following @TrainingFor600, you should be. This is an amazing resource for prepari… https://t.co/1tD9tJPrqB
 2020 Mar 24 21:50:51	1	@johnnys_taemint I was about to cry and ask for another social media acft to follow you on lol
 2020 Mar 24 20:07:44	2	RT @mil_ops: Check this out. German Air Force, Spanish Air Force, and Royal Air Force... never have I seen this many foreign “non combat” t…
 2020 Mar 24 17:09:49	1	"Hey cool, my ACFT score is in DTMS.

In my defense, I will note only that at age 42 and almost 17 years TIS, I'm mu… https://t.co/fROYUeXsBo"
 2020 Mar 24 15:50:31	1	@SpeakerPelosi @SquawkStreet What the hell does Acft emissions have to do with it. What does bailing out USPS have… https://t.co/w6yGmohgXe
 2020 Mar 24 15:20:51	2	RT @mil_ops: @offdutyninja13x Has eyes-on the old Carswell AFB (now JRB) and between him and another anon, we have been watching the happen…
 2020 Mar 24 15:17:12	1	RT @mil_ops: up until recently, i was able to track JPATS acft.  Now, they have been taken completely off-line. No info on their departure…
 2020 Mar 24 15:16:02	1	RT @mil_ops: up until recently, i was able to track JPATS acft.  Now, they have been taken completely off-line. No info on their departure…
 2020 Mar 24 15:15:57	2	RT @mil_ops: @offdutyninja13x Has eyes-on the old Carswell AFB (now JRB) and between him and another anon, we have been watching the happen…
 2020 Mar 24 14:58:14	2	RT @mil_ops: @offdutyninja13x Has eyes-on the old Carswell AFB (now JRB) and between him and another anon, we have been watching the happen…
 2020 Mar 24 14:34:14	1	That ACFT no joke
 2020 Mar 24 06:43:57	1	"Distro PLT 

Lead Dawgs

“Drive Like Hell!” 

ACFT Workout 

#AtlanticResolve 

#Miltwitter https://t.co/pJM8Rt5DKL"
 2020 Mar 24 02:35:41	2	RT @mil_ops: Check this out. German Air Force, Spanish Air Force, and Royal Air Force... never have I seen this many foreign “non combat” t…
 2020 Mar 24 01:54:15	2	RT @mil_ops: Check this out. German Air Force, Spanish Air Force, and Royal Air Force... never have I seen this many foreign “non combat” t…
 2020 Mar 24 01:47:49	2	RT @mil_ops: Check this out. German Air Force, Spanish Air Force, and Royal Air Force... never have I seen this many foreign “non combat” t…
 2020 Mar 23 23:59:09	2	RT @mil_ops: Check this out. German Air Force, Spanish Air Force, and Royal Air Force... never have I seen this many foreign “non combat” t…
 2020 Mar 23 23:42:48	2	"#DnDFitness
5mi #running 5x800m repeats at 6:27 pace, last one at 6:00, ez 800 recovery. This was all I had, just f… https://t.co/sbVdAh5NAA"
 2020 Mar 23 22:50:27	2	"RT @USArmy: #ArmyFit

@LTG_Luckey, chief of @USArmyReserve and commanding general, U.S. Army Reserve Command, sends his message to the fiel…"
 2020 Mar 23 22:27:06	1	"I’ve been busting my ass getting ready for this ACFT, and they just told me I gotta take an APFT.... 

Like can we… https://t.co/QEHBws11eY"
 2020 Mar 23 22:09:54	1	"@ArthurWeint Esqueceu de nós mecânicos de aeronaves Ministro...kkkk

Quando essa acft pousar, nós "" mecânicos de ae… https://t.co/49ISNeO6EQ"
 2020 Mar 23 22:09:53	2	RT @mil_ops: Check this out. German Air Force, Spanish Air Force, and Royal Air Force... never have I seen this many foreign “non combat” t…
 2020 Mar 23 21:47:40	2	RT @obusparenas: @Informa_100 @SKYAirline_CL @SSEI_Araucania @nicocespedes @flyezequiel @eddie_borquez @condorsei Notam A1231/20 DEBIDO A I…
 2020 Mar 23 21:40:15	1	@Informa_100 @SKYAirline_CL @SSEI_Araucania @nicocespedes @flyezequiel @eddie_borquez @condorsei Notam A1231/20 DEB… https://t.co/XsFUIlqCR9
 2020 Mar 23 21:25:30	1	"@pittgriffin @dirac7 And the left with acft fuel emissions.. &amp; more
Both sides have the citizens interest at heart https://t.co/tGXZv8JSqu"
 2020 Mar 23 21:09:31	2	"RT @USArmy: #ArmyFit

@LTG_Luckey, chief of @USArmyReserve and commanding general, U.S. Army Reserve Command, sends his message to the fiel…"
 2020 Mar 23 21:07:44	1	@terrancesavery Pandemic response will only be worth 1 point.  ACFT score will be worth 100.
 2020 Mar 23 21:04:42	2	RT @mil_ops: Check this out. German Air Force, Spanish Air Force, and Royal Air Force... never have I seen this many foreign “non combat” t…
