date	label	text
 2020 Mar 25 06:31:19	1	RT @Jampedrano504: Cuando dieron luz verde en Tegucigalpa, al siguiente día anunciaron el doble de casos del #Covid_19 a partir de mañana s…
 2020 Mar 25 06:31:19	2	"RT @amazingmaddy08: #Covid-19
#LeftToDie
#RonaldRossFeverhospital
#Isolationward
#NoDoctor
#NoWater
#Hyderabad
#NarendraModi 
#TimesNews 
#…"
 2020 Mar 25 06:31:19	1	RT @passantino: Breaking: A child under the age of 18 has died of coronavirus in Los Angeles, public health officials announce, in what is…
 2020 Mar 25 06:31:19	1	RT @Realoilsheikh: May Allah protect you Baba @MBuhari. May He protect you more than He has protected you in the past. May He restore the h…
 2020 Mar 25 06:31:19	0	RT @LtGovDelhi: Addressing digital Press conference with Honble CM Delhi @ArvindKejriwal on urgent measures to tackle Covid-19 outbreak, to…
 2020 Mar 25 06:31:19	1	"RT @jalajboy: South Africa announces a 21-day lockdown without forcing its citizens into needless panic and frenzy:

* 2 days notice
* clea…"
 2020 Mar 25 06:31:19	2	RT @SyazanaMI: Semalam aku ada baca short article berkenaan COVID-19. Tajuknya adalah COVID-19 in Europe : the Italian lesson. Article ini…
 2020 Mar 25 06:31:19	1	"RT @GreenpeaceUK: Should the Government spend billions rescuing airlines, cruise ships and the oil and gas industry?

Bailing out dirty ind…"
 2020 Mar 25 06:31:19	1	RT @redzuanNewsMPB: Bukan sahaja penghidap kanser darah Leukemia, kanak kanak 2 tahun Muhammad Fateh Aqil Mohd Nazmee  juga positif Covid-1…
 2020 Mar 25 06:31:19	1	"RT @CentralFOXMX: 🚨 SE SUSPENDE TOKIO 2020 🚨

OFICIAL: Tras una llamada telefónica entre Thomas Bach y el Primer Ministro de Japón, Shinzo…"
 2020 Mar 25 06:31:19	1	RT @umar_ayotunde: I see Billionaires like Jack Ma, Cristiano Ronaldo,Elon Musk,Rihana and many more around the world donating money to get…
 2020 Mar 25 06:31:19	1	"RT @AmitShah: ఉగాది నాడు ఆంధ్రప్రదేశ్ &amp; తెలంగాణాలోని నా సోదర మరియు సోదరీమణులకు హృదయపూర్వక శుభాకాంక్షలు.

 ఈ నూతన సంవత్సరంలో మనమందరం ఇంటిలో…"
 2020 Mar 25 06:31:19	1	RT @JulesSunbeam: Wow!! @BorisJohnson &amp; @MattHancock have pulled out all the stops &amp; an amazing 35,000 extra staff will shore up the NHS to…
 2020 Mar 25 06:31:19	1	"RT @News24: BREAKING | Coronavirus cases in South Africa hits 709

https://t.co/xK3UDADdif https://t.co/rbVOVFwZT3"
 2020 Mar 25 06:31:19	1	"RT @honjayaass: Pencegahan COVID-19
With DAY6
.
.
1. Terapkan etika ketika bersin atau batuk
https://t.co/nBagnXcMep"
 2020 Mar 25 06:31:19	0	RT @DJobling: Crisis mode: How NFPs can respond to #COVIDー19. Join this free, 60-minute online webinar to gain access to insights and best…
 2020 Mar 25 06:31:19	0	"RT @gamusofficial: ⚠️Pengesanan Kontak Covid-19⚠️

Kepada sesiapa yang menaiki Penerbangan Emirates 

Rabu 18/3 EK 0002 - 1340 
LHR (London…"
 2020 Mar 25 06:31:19	2	RT @gendissw: Jokowi tolak tes bagi DPR dan ingin prioritaskan tenaga medis. Kemendikbud alihkan dana UN untuk penanggulangan Covid-19. Kem…
 2020 Mar 25 06:31:19	0	"RT @TirtoID: Dua komisioner Ombudsman RI positif terjangkit COVID-19.

""Dua orang positif dengan status ODP. Dokter menyarankan isolasi man…"
